S.NO,CAMPAIGN NAME,Domain name
75,Bla Bli Blu,blabliblulife.com
76,Blackberrys,blackberrys.com
77,Blinkist,blinkist.com
78,Blinq,blinq.me
79,Bliss Club,blissclub.com
80,Blogify,blogify.ai
81,BlueHost,bluehost.com
82,BlueTea,bluetea.co.in
83,Blurindia,blurindia.com
84,Boat,boat-lifestyle.com
85,Bonkers Corner,bonkerscorner.com
86,Bookchor,bookchor.com
87,Bookscape,bookscape.com
88,Borosil,myborosil.com
89,Boult Audio,goboult.co.in
90,Brand24,brand24.com
91,Brevo,brevo.com
92,British Council,englishonline.britishcouncil.org
93,Broomees,broomees.com
94,Browse AI,browse.ai
95,Buggati,bugattishoes.in
96,Bummer,bummer.in
97,Buyindusvalley,buyindusvalley.in
98,Bydaccessories,bydaccessories.in
99,Calilio,app.calilio.com
100,CallHippo,callhippo.com
101,Callrail,callrail.com
102,Campaign Monitor,campaignmonitor.com
103,Campaigner,try.campaigner.com
104,Campus Shoes,campusshoes.com
105,CapCut,capcut.com
106,Caprese Bags,capresebags.com
107,Castmagic,castmagic.io
108,Catalister,catalister.com
109,Ccleaner,ccleaner.com
110,Chemicloud,chemicloud.com
111,Chicnutrix,chicnutrix.com
112,Cleartrip,cleartrip.com
113,ClevGuard,clevguard.com
114,Clove Oral Care,cloveoralcare.com
115,Clovia,apps.clovia.com
116,Codashop,codashop.com
117,Cohoom,coohom.com
118,Columbia Sportswear India,columbiasportswear.co.in
119,ControlZ World,controlz.world
120,Converse,converse.in
121,Coofandy,coofandy.com
122,Coursera,coursera.org
123,Coworkshop,coworkshop.shop
124,Crocs,crocs.in
125,Croma Retail,croma.com
126,Crossbeats,crossbeats.com
127,Crosscreek,crosscreek.in
128,Cuelinks Referral Program,cuelinks.com
129,DHgate,dhgate.com
130,Databox,databox.com
131,Debutify,debutify.com
132,Deel,deel.com
133,Dext,dext.com
134,Diginius,diginius.com
135,Digitalshopi,digitalshopi.in
136,Domain.com,domain.com
137,Dot & Key,dotandkey.com
138,Dr. Morepen Light Life,lightlife360.in
139,DreamHost,dreamhost.com
140,Drtrust,drtrust.in
141,Dyson,dyson.in
142,ESD CODES,esdcodes.com
143,EaseUS,easeus.com
144,EaseUS | Backup & Data Recovery,easeus-software.com
145,Education.com,education.com
146,Edureka,edureka.co
147,Electroniksindia,electroniksindia.com
148,Elementor,elementor.com
149,Elemntlife,elemntlife.com
150,Emori,emori.in
151,Envato Elements,elements.envato.com
152,Envato Market CPS,themeforest.net
153,Envato Placeit,placeit.net
154,Esimx,esimx.com
155,Essaydone,essaydone.ai
156,Estuary World,estuaryworld.com
157,Eternz,eternz.com
158,EtravelSIM,etravelsim.com
159,Eventtrix,eventtrix.com
160,Evergreengoods,evergreengoods.in
161,Evochef,evochef.in
162,Evolve,evolveplatform.ai
163,Expertmystery,expertmystery.in
164,ExpressVPN,expressvpn.com
165,Eyejack,eyejack.in
166,Fast & Up,in.fastandup.com
167,Fast Track Eyewear,fastrackeyewear.com
168,FastestVPN,fastestvpn.com
169,Fastmail,fastmail.com
170,FatakPay CPFT,play.google.com
171,Favism,favism.in
172,Faye,faye.in
173,Federal Scapia Credit card CPL,apply.scapia.cards
174,Fernsnpetals,fnp.com
175,Firstcry,firstcry.com
176,Flipkart,flipkart.com
177,Flixbus,flixbus.in
178,Flower Aura,floweraura.com
179,Fly Fairly,flyfairly.com
180,Forest Essentials,forestessentialsindia.com
181,Formula1,formula1.com
182,Foxit,foxit.com
183,Friends Adult Diapers,friendsdiaper.in
184,FuelOne,fuelone.in
185,Full Shine,fullshine.net
186,Furlenco,furlenco.com
187,Gadgetwagon,gadgetwagon.in
188,Gameboost,gameboost.com
189,Gameseal,gameseal.com
190,Gamivo,gamivo.com
191,GeekBuying,geekbuying.com
192,GetResponse,getresponse.com
193,Getscreen,getscreen.me
194,GharSoaps,gharsoaps.shop
195,GigSky,gigsky.com
196,Gitmind,gitmind.com
197,Goatlife,goatlife.co.in
198,Godlike.Host,godlike.host
199,Godrej Interio,interio.com
200,Gohigh,gohigh.co.in
201,Goibibo Hotels,goibibo.com
202,Goibibo International,goibibo.com
203,Gonoise,gonoise.com
204,Gravityforms,gravityforms.com
205,Gritzo,gritzo.com
206,Guardian,guardian.in
207,Guvi,guvi.in
208,H&M,www2.hm.com
209,HDFC Bank Credit Card CPL,applyonline.hdfcbank.com
210,HDFC Bank Swiggy Credit Card CPL,financemela.in
211,Hahow,hahow.in
212,Hairandotherstuff,hairandotherstuff.in
213,Hammer,hammeronline.in
214,Hardaddy,hardaddy.com
215,Harvey Nichols,harveynichols.com
216,Hasthemes,hasthemes.com
217,Hatke,thehatke.com
218,Havells,havells.com
219,HealthKart,healthkart.com
220,HealthXP,healthxp.in
221,Healthfab,healthfab.in
222,Healthymaster,healthymaster.in
223,Hemp Bombs,hempbombs.com
224,Hichkie,hichkie.com
225,Hkvitals,hkvitals.com
226,Homestyler,homestyler.com
227,Hootsuite,hootsuite.com
228,HopeGoo,hopegoo.com
229,Hostarmada,hostarmada.com
230,Hover,hover.com
231,Hume,hume.ai
232,Hyppy,hyppy.in
233,HyugaLife,hyugalife.com
234,ICICI Bank Credit Card (CPL),campaigns.icicibank.com
235,IDFC Bank Saving Account CPL,digital.idfcfirstbank.com
236,IDFC First Bank Credit Card,idfcfirstbank.com
237,IPRoyal,iproyal.com
238,Iamfresh,imfresh.in
239,Ibacosmetics,ibacosmetics.com
240,Ikea India,ikea.com
241,InVideo,invideo.io
242,InboxAlly,inboxally.com
243,Incerunmen,incerunmen.com
244,Indian Gifts Portal,igp.com
245,Indusind Bajaj Tiger Credit Card,induseasycredit.indusind.com
246,Indusind Credit Card CPL,induseasycredit.indusind.bank.in
247,Infinityprints,infinityprints.in
248,Inkarto,inkarto.com
249,Instax Fujifilm,instax.in
250,Interakt,interakt.shop
251,International Open Academy,internationalopenacademy.com
252,Internxt,internxt.com
253,Italiarail,italiarail.com
254,Ivei,ivei.in
255,Jar CPFT,play.google.com
256,Jaypore,jaypore.com
257,Jetpac Global,jetpacglobal.com
258,Jibble,web.jibble.io
259,Jivisa,jivisa.in
260,Jockey,jockey.in
261,Joyread IOS,apps.apple.com
262,Junglescout,junglescout.com
263,Jupiter Edge Rupay Credit Card CPA,play.google.com
264,Just Fashion Now,justfashionnow.com
265,KKday,kkday.com
266,KOSPET Smartwatch,kospet.com
267,Kama Ayurveda,kamaayurveda.in
268,Kapiva,kapiva.in
269,Kerala Ayurveda,keralaayurveda.biz
270,Kicks Crew,kickscrew.com
271,Kindlife,kindlife.in
272,Kisah,kisah.in
273,Kittl,kittl.com
274,Kiwi Credit Cards CPL,apply.gokiwi.in
275,Klook,klook.com
276,Kohler,kohler.co.in
277,Kotak 811 CPL,kotak811.com
278,Krafted Millets,kraftedmillets.com
279,Kreditpe CPA,play.google.com
280,Krishna Ayurveda,krishnaayurved.com
281,LONGER,longer3d.com
282,LOT Polish Airlines,lot.com
283,Lakshita,lakshita.com
284,Landingi,landingi.com
285,Laplink,go.laplink.com
286,LePARMENTIER Paris,le-parmentier.com
287,Leewayfitness,leewayfitness.in
288,Lelo,lelo.com
289,Lenovo India,lenovo.com
290,Levis,levi.in
291,Libas,libas.in
292,Lightpdf,lightpdf.com
293,Lilysilk,lilysilk.com
294,Lindy AI,lindy.ai
295,Liquid Web,liquidweb.com
296,Loaded,loaded.com
297,Loan Hub CPL,loanhubindia.com
298,Loop Earplugs,loopearplugs.in
299,Love Beauty Planet,lovebeautyandplanet.in
300,Love Depot,lovedepot.com
301,Lucira Jewelry,lucirajewelry.com
302,Macrosoft,macrosoft.store
303,Magic Keys,magickeys.trade
304,Makemytrip International Hotels,makemytrip.com
305,Malabar,malabargoldanddiamonds.com
306,Malaysia Airlines,malaysiaairlines.com
307,Mama Earth,mamaearth.in
308,Man Matters,manmatters.com
309,Manychat,manychat.com
310,Marathonwatch,marathonwatch.com
311,Marcopolohotels,marcopolohotels.com
312,Martinic Audio,martinic.com
313,Millenniumhotels,millenniumhotels.com
314,Milton,milton.in
315,MindManager,mindmanager.com
316,Mindiampets,mindiampets.com.au
317,Mister Aladin,misteraladin.com
318,Mivi,mivi.in
319,Moglix,moglix.com
320,Mokobara,mokobara.com
321,Mondly by Pearson,app.mondly.com
322,Moneyview CPFT,play.google.com
323,Moosend,moosend.com
324,Mountainor,mountainor.in
325,Mrfit,mrfit.in
326,MuleRun,mulerun.com
327,Murf AI,murf.ai
328,Muscleblaze,muscleblaze.com
329,Muscletech,muscletech.in
330,Muselot,muselot.in
331,My Designation,mydesignation.com
332,MyTrainPal,mytrainpal.com
333,Mymuse,mymuse.in
334,Myntra,myntra.com
335,Mysterium VPN,mysteriumvpn.com
336,Nasher Miles,nashermiles.com
337,Natural Wash,thenaturalwash.com
338,Naturallyyours,naturallyyours.in
339,Neemans,neemans.com
340,Neeshperfumes,neeshperfumes.com
341,Network Solutions,networksolutions.com
342,Neuherbs,neuherbs.com
343,Nexo,welcome.nexo.com
344,Nicejob,get.nicejob.com
345,Niyo Global Card IOA - CPFT,apps.apple.com
346,Nobero,nobero.com
347,NoraCora,noracora.com
348,Notion,notion.so
349,Nourish Mantra,nourishmantra.in
350,Nova Kid School,novakidschool.com
351,Nuawomen,nuawoman.com
352,Nykaa Beauty,nykaa.com
353,Nykaa Fashion,nykaafashion.com
354,Oglmove,oglmove.com
355,Olister,olister.in
356,Olive Young Global,global.oliveyoung.com
357,Olivieri 1882,usa.olivieri1882.com
358,Omanair,omanair.com
359,Omnisend,omnisend.com
360,OnePlus,oneplus.in
361,Oppo India,oppo.com
362,Organic Mandya,organicmandya.com
363,Organic india,organicindia.com
364,Organicindia,organicindia.co.uk
365,Ourlittle joys,ourlittlejoys.com
366,Ourritual,ourritual.com
367,Oyela,oyela.in
368,PDF Filler,pdffiller.com
369,PYPROXY,pyproxy.com
370,Pacdora,pacdora.com
371,Padel Market,padelmarket.com
372,Palmonas,palmonas.com
373,Parallels,parallels.com
374,PayTM Money CPFT,play.google.com
375,Pelago,pelago.com
376,Pepe Jeans,pepejeans.in
377,Pepperfry,pepperfry.com
378,Pepperstone,pepperstone.com
379,Perfora,perforacare.com
380,Photobook - IN,photobookindia.com
381,Picsart,picsart.com
382,Picwish,picwish.com
383,PipelinePRO,getpipelinepro.net
384,Pixpa,pixpa.com
385,Planner5d,planner5d.com
386,Plaud.ai,plaud.ai
387,Plesk,plesk.com
388,Plum Goodness,plumgoodness.com
389,Plush,plushforher.com
390,Podnutrition,podnutrition.in
391,Pond5,pond5.com
392,Poonawala Fincorp AOS - CPFT,play.google.com
393,Popai,popai.pro
394,Pot & Bloom,potandbloom.com
395,Prabhubhakti,prabhubhakti.in
396,Preply,preply.com
397,Printify,printify.com
398,PureVPN,purevpn.com
399,Purenutrition,purenutrition.in
400,Qorfit,qorfit.in
401,Qrioh,qrioh.com
402,Quench,quenchbotanics.com
403,Quillbot,quillbot.com
404,Qustodio,qustodio.com
405,RBL Bank Cookies Credit Card CPL,rblbank.com
406,RBL Bank Indian Oil Credit Card,rblbank.com
407,RBL Bank Indian Oil Xtra Credit Card,rblbank.com
408,RBL Bank Shoprite Credit Card CPL,rblbank.com
409,RBL Bank World Safari Credit Card CPL,rblbank.com
410,RBL BookMyshow Credit Card CPL,rblbank.com
411,RBL IRCTC Credit Card CPL,rblbank.com
412,Raileurope,raileurope.com
413,Rangdeep,rangdeep.in
414,Rankprompt,rankprompt.com
415,RealMe,realme.com
416,Reclaim.ai,reclaim.ai
417,Redcliffe Labs,redcliffelabs.com
418,Redravenstore,redravenstore.in
419,Reisemoto,reisemoto.com
420,Reliance Digital,reliancedigital.in
421,Renderforest,renderforest.com
422,Rent My Stay,rentmystay.com
423,Reply.io,reply.io
424,Reversible,reversible.com
425,Rio Money Credit Card Web,app.zagg.money
426,Roamless,roamless.com
427,Rosegal,rosegal.com
428,Roselinlin,roselinlin.com
429,Rotomak,rotomak.in
430,Ruhe,ruheindia.com
431,RunPod,runpod.io
432,SBI BPCL Credit Card CPL,sbicard.com
433,SBI BPCL Octane Credit Card CPL,sbicard.com
434,SBI Elite Credit Card CPL,sbicard.com
435,SBI Flipkart Credit Card,sbicard.com
436,SBI IRCTC Platinum Credit Card,sbicard.com
437,SBI Prime Credit Card CPL,sbicard.com
438,SBI Sprint Cashback Credit Card CPL,sbicard.com
439,SBI Sprint Simply Click Credit Card CPL,sbicard.com
440,SBI Sprint Simply Save Credit Card - CPL,sbicard.com
441,SEAGM,seagm.com
442,SS Beauty,ssbeauty.in
443,SSLs,ssls.com
444,Safeshellvpn,safeshellvpn.com
445,Saily,saily.com
446,Sakuramobile,sakuramobile.jp
447,Salty,salty.co.in
448,SaneBox,sanebox.com
449,Sanfe Beauty,sanfe.in
450,Sanketlife,sanketlife.in
451,Sanskruti,sanskrutihomes.in
452,Sapstores,sapstores.in
453,Savana,savana.com
454,Scarletperiod,scarletperiod.com
455,Scriptbazar,scriptbazar.in
456,Seamless,seamless.ai
457,Selenichast,selenichast.com
458,Seva Homes,sevahome.in
459,ShaperCult,shapercult.com
460,Shesha Ayurveda,sheshaayurveda.com
461,Shiftie,shiftie.co
462,Shipy,shipy.in
463,ShopClues,shopclues.com
464,Shopbop,shopbop.com
465,Shopsy,shopsy.in
466,Shopy Vision,shopyvision.com
467,Shutterstock,shutterstock.com
468,Shyaway,shyaway.com
469,Sider.ai,sider.ai
470,Silly Punter,sillypunter.com
471,Similarweb,similarweb.com
472,Sintra.ai,sintra.ai
473,Sirona,thesirona.com
474,SitesGPT,sitesgpt.com
475,Skylum,skylum.com
476,SleepSia,sleepsia.in
477,Sleepwell,mysleepwell.com
478,Sleepyhead,mysleepyhead.com
479,Smartspreadsheets,smartspreadsheets.in
480,Snowfire AI,snowfire.ai
481,Soax,soax.com
482,Softorino,softorino.com
483,Solara CPS,solara.in
484,Sorare,sorare.com
485,Soulflower,soulflower.in
486,Soulight,soulight.com
487,Southwest Airlines Rapid Rewards - Points.Com,southwest.com
488,Spikefitness,spikefitness.in
489,Spinny,spinny.com
490,Stable Money CPFT,play.google.com
491,Steadfast Nutrition,steadfastnutrition.in
492,Streetbuy,streetbuy.in
493,StubHub,stubhub.ie
494,Stylevana,stylevana.com
495,Stylewe,stylewe.com
496,Submarine Pens,submarinepens.com
497,Sugar Cosmetics,sugarcosmetics.com
498,Sunasa,sunasa.in
499,Superbottoms,superbottoms.com
500,SurfShark VPN,surfshark.com
501,Suroskie,suroskie.com
502,SurveyMonkey,surveymonkey.com
503,Suta,suta.in
504,Swiss Beauty,swissbeauty.in
505,Switcher Studio,switcherstudio.com
506,TVC Mall,tvc-mall.com
507,TYMO BEAUTY,tymobeauty.com
508,Tata Cliq,tatacliq.com
509,Tata Neu HDFC Credit Card CPL,tataneu.com
510,Tax1099,tax1099.com
511,Teddy Boy,teddyboy.in
512,Temu,temu.com
513,Tenable,tenable.com
514,The Bear House,thebearhouse.com
515,The Derma Co,thedermaco.com
516,The Man Company,themancompany.com
517,Thedapperman,thedapperman.in
518,Themcubes,themcubes.in
519,Theparkhotels,theparkhotels.com
520,Thordata,thordata.com
521,Thrillophilia,thrillophilia.com
522,Tidio,tidio.com
523,Tintbox,tintbox.in
524,Titan Eye+,titaneyeplus.com
525,Titan Skinn,skinn.in
526,Toing AOS - CPFT,play.google.com
527,Trainual,trainual.com
528,Travel Code,travel-code.com
529,Traveloka India,traveloka.com
530,Travelstart,travelstart.co.za
531,Treble AI,treble.ai
532,Trip.com,trip.com
533,Trivago,trivago.sg
534,TrueBasics,truebasics.com
535,Truloom,truloom.in
536,Ttsopenai,ttsopenai.com
537,Turet,turet.in
538,Uppercase,uppercase.co.in
539,Valueactive,valueactive.in
540,Victoria Secret,victoriassecret.in
541,WOW,buywow.in
